latitude,longitude,previousSpeed,speed,gpsSpeed,speedLimit,accX,accY,accZ,Anticipation,drivingSkill,selfConfidence,drivingScore,drivingStyle,driverState,createdAt,braking,acceleration,cornering,,,,
0,0,-100,8.92066412,8.921,0,-1,0.5521438,10.470394,7.667501,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,8.92066412,8.921,0,-1,-0.1911267,8.779864,3.0266216,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,8.92066412,9.619,0,-1,-2.0784655,8.823235,1.4285151,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,1.4539388,8.513663,4.668696,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,-0.6897311,9.190832,3.1360931,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,-1.4940187,10.729117,7.086643,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,1.6241283,9.282058,7.164709,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,0.38404804,8.320742,1.3944174,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,-1.5463617,9.598808,2.9021947,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,0.3481557,9.692428,9.215957,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,1.114158,8.446963,5.145167,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,-1.035494,8.759227,3.3086755,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,-1.1599208,9.749556,6.417251,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,0.28953153,9.755538,5.552545,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
0,0,-100,9.618786907,9.619,0,-1,0.27098715,8.883055,3.5841491,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.024
